Id,First Name,Last Name,Reg. Date,OrderDate,DeliveryDate
1,Ajay,Singh,31/01/2021,31/01/2021,05/02/21
2,Mohit,Raina,12/10/21,31/01/2021,01/02/21
3,Sujit,Singh,03/09/21,31/01/2021,10/02/21
4,Amit,Agarwal,31/01/2021,31/01/2021,03/02/21
5,Roman,Saini,31/01/2021,01/02/21,10/02/21
6,Manoj,Kumar,03/09/21,03/02/21,11/02/21
7,Amit,Divedi,03/09/21,07/04/21,08/04/21
8,Suraj,Kumar,31/01/2021,07/04/21,08/04/21
9,Mayank,Rawat,31/01/2021,07/04/21,17/04/2021
10,Ajay,Kumar,03/09/21,07/04/21,09/04/21
11,Rohit,Negi,03/09/21,07/04/21,15/04/2021
